╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
е┴╢п╢m,дgжa,дj▒T╕}мq91~120жa╕╣,586.25,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1050622,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3402746,5804,,0.0,0,е╗о╫╡n░OжW╕qдHдGдHл∙д└жU1/2,RPTNMLLKPHLFFCQ76CA
╖╦дf╢m,дgжa,дT┼|╖╦мq241~270жa╕╣,193.99,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050623,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,630000,3248,,0.0,0,,RPVNMLLKPHLFFCQ96CA
╕qж╦╢m,дgжa,░ёдl└Yмq░ёлeдpмq331~360жa╕╣,3902.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050623,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2200000,564,,0.0,0,,RPVNMLPJPHLFFBQ17CA
╕qж╦╢m,дgжa,╖sй▒мq1681~1710жa╕╣,5435.0,,пSйw▒Mе╬░╧,╛i┤▐е╬жa,1050616,дgжa4л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2717500,500,,0.0,0,,RPPNMLPJPHLFFBQ56CA
ем│U┬э,дgжa,л╪┐│мq241~270жa╕╣,55.82,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050622,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1266416,22687,,0.0,0,,RPQNMLPJPHLFFBQ66CA
ж╡дlел,дgжa,┬эжwмq61~90жa╕╣,65.0,жэ,,,1050616,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1572800,24197,,0.0,0,дWж│е╝лOжs╡n░Oдзл╪кл,RPTNMLTKPHLFFBQ47CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелдs│q╕Ї1~30╕╣,17.59,жэ,,,1050615,дgжa2л╪кл1иожь0,,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0830910,103.28999999999999,3,2,2,ж│,ж│,2400000,23236,,0.0,0,,RPSNMLLKPHLFFBQ56CA
ж╡дlел,дgжa,дj╕пмq211~240жa╕╣,179.47,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050622,дgжa8л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1350000,7522,,0.0,0,┼vзQдHж@дGдHбA╝Wн╚╡|е╤й╙╢RдH├║п╟,RPQNMLOKPHLFFBQ66CA
кFе█╢m,дgжa,ў┤╣кмq211~240жa╕╣,1443.0,,д@пы╣A╖~░╧,╣Aкке╬жa,1050624,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,450000,312,,0.0,0,,RPPNMLQJPHLFFBQ66CA
╕qж╦╢m,дgжa,дн╢бнэмqдннэдpмq271~300жa╕╣,2924.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050613,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2046800,700,,0.0,0,,RPQNMLQJPHLFFBQ76CA
╕qж╦╢m,дgжa,дн╢бнэмqдннэдpмq271~300жa╕╣,2925.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050613,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2047500,700,,0.0,0,,RPRNMLQJPHLFFBQ86CA
╕qж╦╢m,дgжa,жw╖╦╝dмqен╖╦дpмq1~30жa╕╣,2358.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050623,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1650600,700,,0.0,0,"┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC╕╙╡здgжaм░╕q░╚дH┼vзQдHжUж│1/2дз┼vзQ,╖экьзб╡n░Oйє╕q░╚дHжW╕q,▓{╢R╜ц╗∙├BлY╕q░╚дH▒Nй╥ж│д@еbдз┼vзQ╜цеXдзкў├B",RPTNMLQJPHLFFBQ07CA
кFе█╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дкFе█╢mмwдl181~210╕╣,84.0,,д@пы╣A╖~░╧,е╥║╪л╪┐vе╬жa,1050621,дgжa2л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0750718,127.88,3,2,2,ж│,╡L,1800000,14076,,0.0,0,,RPVNMLQJPHLFFBQ27CA
д╗╕}╢m,дgжa,ж╦дl╕}мqж╦╣┼дpмq121~150жa╕╣,3855.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050621,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3215700,834,,0.0,0,,RPQNMLMKPHLFFBQ09CA
ж╡дlел,дgжa,оrлсмqлnоrдpмq1051~1080жa╕╣,3011.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050624,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1806600,600,,0.0,0,,RPRNMLRJPHLFFBQ96CA
ем│U┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐дем│U┬эе·┤_╕Їд@мq17л╤11з╦1~30╕╣,103.19,жэ,,,1050616,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одgе[▒j┐j│y,0840313,182.05,5,2,3,ж│,╡L,3360000,18456,,0.0,0,,RPVNMLMLPHLFFBQ07CA
д╙лOел,дgжa,│┬╝dмq1201~1230жa╕╣,842.17,╣A,,,1050609,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1000000,1187,,0.0,0,,RPSNMLQJPHLFFDQ17CA
е┴╢п╢m,дgжa,ж┐нэй▒мq631~660жa╕╣,2716.0,жэ,,,1050621,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,10000000,3682,,0.0,0,,RPWNMLQLPHLFFCQ67CA
╖s┤ф╢m,дgжa,╖sдым▄╝цмq631~660жa╕╣,73.33,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050623,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,300000,4091,,0.0,0,,RPSNMLLKPHLFFCQ66CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mкў┐│з°е▀╝w╡є181~210╕╣,89.69,жэ,,,1050614,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0700410,97.87,3,2,2,ж│,╡L,2030000,20742,,0.0,0,,RPOOMLLLPHLFFCQ09CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лO╔]дддs╕Їд@мq228л╤19з╦1~30╕╣,10.23,жэ,,,1050524,дgжa1л╪кл1иожь0,д╗╝h,дE╝h,оMй╨(1й╨1╞U1╜├),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0821006,50.849999999999994,1,1,1,ж│,╡L,520000,10226,,0.0,0,,RPWNMLMLPHLFFDQ37CA
ж╦▒T╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╦▒T╢m╞W╛Їз°1~30╕╣,108.19,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050402,дgжa1л╪кл1иожь0,е■,д@╝h,│zд╤нэ,жэоaе╬,игифеL╡n░Oи╞╢╡,0711109,39.28,3,2,1,ж│,╡L,1000000,25458,,0.0,0,л╬кpп}╖lж╤┬┬дзецйЎбC,RPQNMLRKPHLFFEQ27CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лO╔]дTжX╕Ї421~450╕╣,118.0,жэ,,,1050619,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1041130,221.29,4,3,3,ж│,╡L,7000000,31633,,0.0,0,,RPRNMLQJPHLFFDQ17DA
дЇдW╢m,дgжa,лn╣tмqлnйMдpмq1261~1290жa╕╣,2636.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050615,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3500000,1328,,0.0,0,,RPTNMLQJPHLFFDQ37DA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mе┴е═з°жие\╡є121~150╕╣,73.82,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050609,дgжa1л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0820720,175.89,5,1,3,ж│,╡L,4550000,25868,,0.0,0,,RPPNMLMKPHLFFDQ66DA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬эе·й·╡є31~60╕╣,44.02,жэ,,,1050614,дgжa1л╪кл1иожь0,д@╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0820217,113.17999999999999,3,2,1,ж│,╡L,3300000,29157,,0.0,0,,RPWNMLOKPHLFFCQ47DA
╖s┤ф╢m,дgжa,ддмvдlмqддмvдpмq61~90жa╕╣,2732.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050613,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4098000,1500,,0.0,0,,RPWNMLRJPHLFFCQ77EA
╖╦дf╢m,дgжa,дT┼|╖╦мq481~510жa╕╣,2544.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050629,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3459840,1360,,0.0,0,,RPPNMLLKPHLFFCQ56EA
ж╦▒T╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╦▒T╢m╞W╛Їз°16╛F╞W╛Ї2л╤1~30╕╣,60.91,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050513,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0690819,103.08,2,1,2,ж│,╡L,1800000,17462,,0.0,0,,RPPNMLMKPHLFFEQ86EA
╡f╕Ї╢m,дgжa,д║┬|мq181~210жa╕╣,1848.6,ифеL,,,1050608,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4000000,2164,,0.0,0,,RPQNMLMKPHLFFEQ96EA
е┴╢п╢m,дgжa,д√╕Y╖╦мq721~750жa╕╣,1079.33,,пSйw╣A╖~░╧,╣Aкке╬жa,1050525,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1619000,1500,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPWNMLNKPHLFFCQ37DA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mе·й·╡є61~90╕╣,98.36,жэ,,,1050614,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1030714,199.22,5,2,2,ж│,╡L,7360000,36944,,0.0,0,,RPXNMLNKPHLFFCQ47DA
╖s┤ф╢m,дgжa,дT╢бнэмq61~90жa╕╣,2735.0,,д@пы╣A╖~░╧,╣Aкке╬жa,1050606,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3145250,1150,,0.0,0,,RPTNMLQJPHLFFCQ27DA
д╙лOел,дgжa,╣L╖╛мq╣L╖╛дpмq1561~1590жa╕╣,3412.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050624,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,7506400,2200,,0.0,0,,RPPNMLRJPHLFFDQ07DA
ддоH╢m,дgжa,ж╦└Y▒Tмq61~90жa╕╣,40793.0,,дsйYжaлOи|░╧,╣Aкке╬жa,1050621,дgжa5л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,6720000,165,,0.0,0,,RPSNMLRJPHLFFDQ37DA
ж╦▒T╢m,дgжa,╡╡╢│мq601~630жa╕╣,3827.05,,д@пы╣A╖~░╧,╣Aкке╬жa,1050420,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,9260900,2420,,0.0,0,,RPPNMLRKPHLFFEQ17CA
▒Ўдs╢m,дgжa,дjпєоHмq61~90жa╕╣,471.92,,дsйYжaлOи|░╧,╣Aкке╬жa,1050614,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,300000,636,,0.0,0,,RPUNMLLKPHLFFEQ07CA
│└пє╢m,дgжa,└tжЄдsмqнл╣║дpмq1291~1320жa╕╣,3000.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050604,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2500000,833,,0.0,0,,RPTNMLMJQHLFFDQ96CA
